"scientific_name","common_name","source"
"Sterculia parviflora","common sterculia","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Syzygium anisatum","aniseed myrtle","Newton, ""The Oldest Foods on Earth"""
"Syzygium australe","brush cherry","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Syzygium formosum","phul jamb","Milla 2020 Crop Origins"
"Syzygium luehmannii","riberry","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Syzygium polycephalum","gowok","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Syzygium smithii","lilly pilly","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Syzygium suborbiculare","red bush apple","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Tagetes lucida","sweet scent marigold","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Tagetes tenuifolia","signet marigold","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Talisia esculenta","pitomba","Milla 2020 Crop Origins"
"Talisia olivaeformis","honeyberry","Sterling, ""Yucatan"""
"Taraxacum campylodes","dandelion","Milla 2020 Crop Origins"
"Telopea speciosissima","new south wales waratah","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Terminalia cunninghamii","pindan walnut","Newton, ""The Oldest Foods on Earth"""
"Terminalia ferdinandiana","kakadu plum","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Terminalia kaernbachii","okari nut","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Tetragonia tetragonioides","new zealand spinach","Newton, ""The Oldest Foods on Earth"""
"Theobroma bicolor","mocambo","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Theobroma microcarpum","cacao de monte","Milla 2020 Crop Origins"
"Thymus herba-barona","caraway thyme","Milla 2020 Crop Origins"
"Trichosanthes japonica","kikarasu uri","Milla 2020 Crop Origins"
"Triticum aestivum subsp. compactum","club wheat","GRIN Taxonomy for Plants"
"Triticum aestivum subsp. sphaerococcum","indian dwarf wheat","GRIN Taxonomy for Plants"
"Triticum araraticum","wild hulled wheat","GRIN Taxonomy for Plants"
"Triticum boeoticum","einkorn wheat","Milla 2020 Crop Origins"
"Triticum dicoccon","farro","JL"
"Triticum durum","durum wheat","JL"
"Triticum monococcum subsp. aegilopoides","wild einkorn","GRIN Taxonomy for Plants"
"Triticum sphaerococcum","shot wheat","Milla 2020 Crop Origins"
"Triticum turanicum","Khorasan wheat","JL"
"Triticum turgidum subsp. carthlicum","persian wheat","GRIN Taxonomy for Plants"
"Triticum turgidum subsp. dicoccoides","wild emmer wheat","GRIN Taxonomy for Plants"
"Triticum turgidum subsp. dicoccum","emmer wheat","GRIN Taxonomy for Plants"
"Triticum turgidum subsp. durum","durum wheat","BP"
"Triticum turgidum subsp. paleocolchicum","emmer wheat","GRIN Taxonomy for Plants"
"Triticum turgidum subsp. polonicum","polish wheat","GRIN Taxonomy for Plants"
"Triticum turgidum subsp. turanicum","khorasan wheat","GRIN Taxonomy for Plants"
"Triticum vavilovii","spelt","GRIN Taxonomy for Plants"
"Tropaeolum leptophyllum","tropaeolum genus","Milla 2020 Crop Origins"
"Tropaeolum tuberosum","mashua","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Tulip gesneriana","garden tulip","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Ullucus tuberosus","ullucus","BP"
"Undaria pinnatifida","wakame","FAO Cultured Aquatic Species Fact Sheets"
"Urena lobata","urena congo jute","FAO major crops 2019"
"Vaccinium ashei","rabbiteye blueberry","van Wyk, ""Food Plants of the World"""
"Vaccinium oxycoccos","small cranberry","Milla 2020 Crop Origins"
"Vaccinium tenellum","southern blueberry","BP"
"Valeriana sambucifolia","elder leaved valerian","Milla 2020 Crop Origins"
"Vanilla tahitensis","tahitian vanilla","Milla 2020 Crop Origins"
"Vasconcellea pubescens","mountain papaya","Milla 2020 Crop Origins"
"Vicia articulata","black lentil","Milla 2020 Crop Origins"
"Vicia graminea","vicia chica","Milla 2020 Crop Origins"
"Victoria amazonica","uape jacana","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Vigna lanceolata","native bean","Newton, ""The Oldest Foods on Earth"""
"Vigna unguiculata subsp. sesquipedalis","asparagus bean","JL"
"Viola hederacea","australian violet","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Viola odorata","wood violet","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Viola x wittrockiana","garden pansy","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Wasabia japonica","wasabi","van Wyk, ""Food Plants of the World"""
"Willughbeia angustifolia","gerit-gerit","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Wolffia arrhiza","least duckweed","Milla 2020 Crop Origins"
"Xanthophyllum amoenum","langgir","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Xanthosoma","various starchy corms","JL"
"Xanthosoma belophyllum","chou blanc","Milla 2020 Crop Origins"
"Xanthosoma brasiliense","calalou","Milla 2020 Crop Origins"
"Xanthosoma caracu","yautia horqueta","Milla 2020 Crop Origins"
"Xanthosoma poeppigii","amankani","Milla 2020 Crop Origins"
"Xanthosoma undipes","choux caraibe","Milla 2020 Crop Origins"
"Xylopia aethiopica","grains of selim","Kuete, ""Medicinal Spices and Vegetables from Africa"""
"Yucca gigantea","spanish bayonet","Milla 2020 Crop Origins"
"Zanthoxylum capense","small knobwood","Kuete, ""Medicinal Spices and Vegetables from Africa"""
