"scientific_name","common_name","source"
"Isostichopus badionotus","sea cucumber","FDA The Seafood List, 2023/07/21"
"Jacquinotia edwardsii","spider crab","FDA The Seafood List, 2023/07/21"
"Jasus edwardsii","southern rock lobster","Newton, ""The Oldest Foods on Earth"""
"Jasus frontalis","rock lobster","FDA The Seafood List, 2023/07/21"
"Jasus lalandii","rock lobster","FDA The Seafood List, 2023/07/21"
"Jasus paulensis","rock lobster","FDA The Seafood List, 2023/07/21"
"Johnius dussumieri","croaker","FDA The Seafood List, 2023/07/21"
"Kathetostoma giganteum","stargazer","FDA The Seafood List, 2023/07/21"
"Kryptopterus limpok","sheatfish","FDA The Seafood List, 2023/07/21"
"Kuhlia marginata","aholehole","FDA The Seafood List, 2023/07/21"
"Kyphosus sectator","chub","FDA The Seafood List, 2023/07/21"
"Lactophrys triqueter","trunkfish","FDA The Seafood List, 2023/07/21"
"Lagocephalus","fugu fish","JL"
"Lambis lambis","conch","FDA The Seafood List, 2023/07/21"
"Lampris immaculatus","southern opah","SJ"
"Lasius fuliginosus","jet ant","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Latidae","asian sea bass","JL"
"Latridopsis ciliaris","trumpeter","FDA The Seafood List, 2023/07/21"
"Latris lineata","trumpeter","FDA The Seafood List, 2023/07/21"
"Leiognathus equulus","slipmouth","FDA The Seafood List, 2023/07/21"
"Lepidopsetta billineta","southern rock sole","NOAA Fisheries"
"Lepidorhynchus denticulatus","grenadier","FDA The Seafood List, 2023/07/21"
"Lepidotrigla argus","searobin","FDA The Seafood List, 2023/07/21"
"Lepophidium brevibarbe","cusk-eel","FDA The Seafood List, 2023/07/21"
"Lepophidium jeannae","cusk-eel","FDA The Seafood List, 2023/07/21"
"Leporinus obtusidens","boga","FDA The Seafood List, 2023/07/21"
"Lethocerus indicus","giant water bug","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Lethrinus miniatus","emperor","FDA The Seafood List, 2023/07/21"
"Lethrinus variegatus","emperor","FDA The Seafood List, 2023/07/21"
"Lethrinus xanthochilus","emperor","FDA The Seafood List, 2023/07/21"
"Leucoraja erinacea","skate","FDA The Seafood List, 2023/07/21"
"Leukoma staminea","littleneck clam","Marty Smith"
"Limanda ferruginea","yellowtail flounder","NOAA Fisheries"
"Limanda proboscidea","flounder","FDA The Seafood List, 2023/07/21"
"Limanda punctatissima","flounder","FDA The Seafood List, 2023/07/21"
"Lithodes aequispinus","golden king crab","FDA The Seafood List, 2023/07/21"
"Lithodes antarcticus","centolla crab","FDA The Seafood List, 2023/07/21"
"Lithodes couesi","scarlet crab","FDA The Seafood List, 2023/07/21"
"Lithodes murrayi","murray crab","FDA The Seafood List, 2023/07/21"
"Lithodes santolla","santolla crab","FDA The Seafood List, 2023/07/21"
"Lithodidae","king crab","JL"
"Litopenaeus occidentalis","shrimp","FDA The Seafood List, 2023/07/21"
"Litopenaeus schmitti","shrimp","FDA The Seafood List, 2023/07/21"
"Litopenaeus setiferus","atlantic white shrimp","SJ"
"Litopenaeus stylirostris","shrimp","FDA The Seafood List, 2023/07/21"
"Litopenaeus vannamei","whiteleg shrimp","BP"
"Littorina littorea","periwinkle","JL"
"Littorina sitkana","periwinkle","FDA The Seafood List, 2023/07/21"
"Liza grandisquamis","mullet","FDA The Seafood List, 2023/07/21"
"Loligo forbesii","veined squid","SJ"
"Loligo gahi","squid","FDA The Seafood List, 2023/07/21"
"Loligo media","squid","FDA The Seafood List, 2023/07/21"
"Loligo ocula","squid","FDA The Seafood List, 2023/07/21"
"Loligo plei","squid","FDA The Seafood List, 2023/07/21"
"Loligo vulgaris","european squid","SJ"
"Loligo vulgaris reynaudi","squid","FDA The Seafood List, 2023/07/21"
"Loliolus beka","squid","FDA The Seafood List, 2023/07/21"
"Lolliguncula brevis","squid","FDA The Seafood List, 2023/07/21"
"Lolliguncula panamensis","squid","FDA The Seafood List, 2023/07/21"
"Lophius","monkfish","JL"
"Lopholithodes foraminatus","brown box crab","FDA The Seafood List, 2023/07/21"
"Lotella rhacina","morid cod","FDA The Seafood List, 2023/07/21"
"Lottia gigantea","limpet","FDA The Seafood List, 2023/07/21"
"Loxorhynchus grandis","sheep crab","FDA The Seafood List, 2023/07/21"
"Lutjanidae","snapper","JL"
"Lutjanus agennes","snapper","FDA The Seafood List, 2023/07/21"
"Lutjanus aratus","snapper","FDA The Seafood List, 2023/07/21"
"Lutjanus guttatus","snapper","FDA The Seafood List, 2023/07/21"
"Lutjanus inermis","snapper","FDA The Seafood List, 2023/07/21"
"Lutjanus johnii","snapper","FDA The Seafood List, 2023/07/21"
"Lutjanus jordani","snapper","FDA The Seafood List, 2023/07/21"
"Lutjanus purpureus","snapper","FDA The Seafood List, 2023/07/21"
"Macoma nasuta","bentnose clam","FDA The Seafood List, 2023/07/21"
"Macrobrachium carcinus","freshwater shrimp","FDA The Seafood List, 2023/07/21"
"Macrobrachium ohione","freshwater shrimp","FDA The Seafood List, 2023/07/21"
"Macrobrachium rosenbergii","giant river prawn","FAO Cultured Aquatic Species Fact Sheets"
"Macrocallista maculata","calico clam","FDA The Seafood List, 2023/07/21"
"Macrocallista nimbosa","venus clam","FDA The Seafood List, 2023/07/21"
"Macrotermes bellicosus","winged termite","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Macrotermes subhyalinus","winged termite","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Macruronus magellanicus","grenadier","FDA The Seafood List, 2023/07/21"
"Mactra sachalinensis","surfclam","FDA The Seafood List, 2023/07/21"
"Mactrellona alata","surfclam","FDA The Seafood List, 2023/07/21"
"Mactromeris catilliformis","surfclam","FDA The Seafood List, 2023/07/21"
"Mactromeris hemphillii","surfclam","FDA The Seafood List, 2023/07/21"
"Mactromeris polynyma","surfclam","FDA The Seafood List, 2023/07/21"
"Mactrotoma californica","surfclam","FDA The Seafood List, 2023/07/21"
"Mactrotoma fragilis","surfclam","FDA The Seafood List, 2023/07/21"
"Mactrotoma nasuta","surfclam","FDA The Seafood List, 2023/07/21"
"Magallana gigas","pacific cupped oyster","FAO Cultured Aquatic Species Fact Sheets"
"Maja squinado","spider crab","FDA The Seafood List, 2023/07/21"
"Malacanthidae","tilefish","JL"
"Malacoraja senta","skate","FDA The Seafood List, 2023/07/21"
"Manta birostris","manta","FDA The Seafood List, 2023/07/21"
"Manta hamiltoni","manta","FDA The Seafood List, 2023/07/21"
"Marsupenaeus japonicus","kurama shrimp","SJ"
"Medialuna californiensis","halfmoon","FDA The Seafood List, 2023/07/21"
"Medusozoa","jellyfish","JL"
"Megabalanus psittacus","barnacle","FDA The Seafood List, 2023/07/21"
"Meganyctiphanes norvegica","krill","FDA The Seafood List, 2023/07/21"
"Meleagris","turkey","BP"
"Melicertus kerathurus","striped prawn","SJ"
"Melicertus latisulcatus","shrimp","FDA The Seafood List, 2023/07/21"
"Melicertus plebejus","eastern king prawn","SJ"
"Melophorus bagoti","red honey ant","Newton, ""The Oldest Foods on Earth"""
"Menippe adina","stone crab","FDA The Seafood List, 2023/07/21"
"Menippe mercenaria","stone crab","FDA The Seafood List, 2023/07/21"
"Menticirrhus undulatus","kingfish","FDA The Seafood List, 2023/07/21"
"Mercenaria campechiensis","clam","FDA The Seafood List, 2023/07/21"
"Mercenaria mercenaria","northern quahog","FAO Cultured Aquatic Species Fact Sheets"
"Mercluccius productus","pacific whiting","NOAA Fisheries"
"Meretrix lyrata","white hard clam","FDA The Seafood List, 2023/07/21"
"Merlucciidae","hake","JL"
"Merluccius paradoxus","deep-water cape hake","SJ"
"Mesocentrotus franciscanus","red sea urchin","BP"
"Metacarcinus edwardsii","rock crab","FDA The Seafood List, 2023/07/21"
"Metacarcinus magister","dungeness crab","JL"
"Metanephrops binghami","lobsterette","FDA The Seafood List, 2023/07/21"
"Metanephrops challengeri","lobsterette","FDA The Seafood List, 2023/07/21"
"Metanephrops rubellus","lobsterette","FDA The Seafood List, 2023/07/21"
"Metapenaeus affinis","shrimp","FDA The Seafood List, 2023/07/21"
"Metapenaeus dobsoni","shrimp","FDA The Seafood List, 2023/07/21"
"Metapenaeus endeavouri","shrimp","FDA The Seafood List, 2023/07/21"
"Metapenaeus ensis","shrimp","FDA The Seafood List, 2023/07/21"
"Metapenaeus monoceros","shrimp","FDA The Seafood List, 2023/07/21"
"Meuschenia galii","leatherjacket","FDA The Seafood List, 2023/07/21"
"Meuschenia scaber","triggerfish","FDA The Seafood List, 2023/07/21"
"Microchirus variegatus","sole","FDA The Seafood List, 2023/07/21"
"Microcosmus sabatieri","sea fig","JL"
"Micromesistius australis","blue whiting","FDA The Seafood List, 2023/07/21"
"Micropterus notius","bass","FDA The Seafood List, 2023/07/21"
"Micropterus treculii","bass","FDA The Seafood List, 2023/07/21"
"Microstomus kitt","sole","FDA The Seafood List, 2023/07/21"
"Mimachlamys varia","scallop","FDA The Seafood List, 2023/07/21"
"Mizuhopecten yessoensis","yesso scallop","FAO Cultured Aquatic Species Fact Sheets"
"Mobula thurstoni","manta","FDA The Seafood List, 2023/07/21"
"Modiolus barbatus","mussel","FDA The Seafood List, 2023/07/21"
"Modiolus modiolus","mussel","FDA The Seafood List, 2023/07/21"
"Monochamus versteegi","beetle","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Monodonta turbinata","top shell","FDA The Seafood List, 2023/07/21"
"Monomia haanii","swimming crab","FDA The Seafood List, 2023/07/21"
"Mora moro","morid cod","FDA The Seafood List, 2023/07/21"
"Morone chrysops x Morone saxatilis","striped bass hybrid","FAO Cultured Aquatic Species Fact Sheets"
"Morone mississippiensis","bass","FDA The Seafood List, 2023/07/21"
"Morone saxatilis x Morone chrysops","bass","FDA The Seafood List, 2023/07/21"
"Mugil gaimardianus","mullet","FDA The Seafood List, 2023/07/21"
"Mugil gyrans","mullet","FDA The Seafood List, 2023/07/21"
"Mugilidae","mullet","JL"
"Mugiloides chilensis","sandperch","FDA The Seafood List, 2023/07/21"
"Mugiloides fasciatus","sandperch","FDA The Seafood List, 2023/07/21"
"Mulinia edulis","surfclam","FDA The Seafood List, 2023/07/21"
"Mulloidichthys dentatus","goatfish","FDA The Seafood List, 2023/07/21"
"Mullus barbatus","mullet","FDA The Seafood List, 2023/07/21"
"Munida gregaria","langostino","FDA The Seafood List, 2023/07/21"
"Muraena melanotis","moray eel","FDA The Seafood List, 2023/07/21"
"Muraena robusta","moray eel","FDA The Seafood List, 2023/07/21"
"Mustelus antarcticus","dogfish shark","FDA The Seafood List, 2023/07/21"
"Mustelus californicus","shark","FDA The Seafood List, 2023/07/21"
"Mustelus lenticulatus","dogfish shark","FDA The Seafood List, 2023/07/21"
"Mya arenaria","soft-shell clam","SJ"
"Mycteroperca jordani","grouper","FDA The Seafood List, 2023/07/21"
"Mycteroperca phenax","grouper","FDA The Seafood List, 2023/07/21"
"Myleus pacu","pacu","FDA The Seafood List, 2023/07/21"
"Myliobatis californica","bat ray","FDA The Seafood List, 2023/07/21"
"Myliobatis freminvillii","bullnose ray","FDA The Seafood List, 2023/07/21"
"Myliobatis goodei","eagle ray","FDA The Seafood List, 2023/07/21"
"Mytilus californianus","mussel","FDA The Seafood List, 2023/07/21"
"Mytilus chilensis","mussel","FDA The Seafood List, 2023/07/21"
"Mytilus edulis","blue mussel","BP"
"Mytilus galloprovicialis x Mytilus edulis","mussel","FDA The Seafood List, 2023/07/21"
"Mytilus galloprovincalis","mediterranean mussel","FAO Cultured Aquatic Species Fact Sheets"
"Mytilus galloprovincialis","mussel","FDA The Seafood List, 2023/07/21"
"Myxine glutinosa","hagfish","FDA The Seafood List, 2023/07/21"
"Narcine brasiliensis","electric ray","FDA The Seafood List, 2023/07/21"
"Nautilus","nautilus","JL"
"Navodon australis","triggerfish","FDA The Seafood List, 2023/07/21"
"Nebris microps","croaker","FDA The Seafood List, 2023/07/21"
"Nemadactylus carponotatus","morwong","FDA The Seafood List, 2023/07/21"
"Nemadactylus douglasii","morwong","FDA The Seafood List, 2023/07/21"
"Nemadactylus macropterus","tarakihi","FDA The Seafood List, 2023/07/21"
"Nematalosa vlaminghi","gizzard shad","FDA The Seafood List, 2023/07/21"
"Nematognathi","catfish","JL"
"Nemipterus mesoprion","threadfin bream","FDA The Seafood List, 2023/07/21"
"Neolithodes brodiei","lithodes crab","FDA The Seafood List, 2023/07/21"
"Neotropius acutirostris","batashi","FDA The Seafood List, 2023/07/21"
"Nephrops norvegicus","norway lobster","SJ"
"Nephropsis aculeata","lobsterette","FDA The Seafood List, 2023/07/21"
"Netuma thalassinus","giant whiskered fish","FDA The Seafood List, 2023/07/21"
"Nezara viridula","southern green stink bug","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Nototodarus sloanii","squid","FDA The Seafood List, 2023/07/21"
"Ocenebra japonica","snail","FDA The Seafood List, 2023/07/21"
"Octopoda","octopus","JL"
"Octopus insularis","octopus","FDA The Seafood List, 2023/07/21"
"Octopus membranaceus","octopus","FDA The Seafood List, 2023/07/21"
"Octopus minor","long arm octopus","SJ"
"Octopus vulgaris","octopus","FDA The Seafood List, 2023/07/21"
"Odontesthes regia","silverside","FDA The Seafood List, 2023/07/21"
"Oecophylla smaragdina","asian weaver ant","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Oligoplites saurus","jack","FDA The Seafood List, 2023/07/21"
"Ommastrephes bartramii","squid","FDA The Seafood List, 2023/07/21"
"Oncorhynchus aguabonita","trout","FDA The Seafood List, 2023/07/21"
"Ophichthus rex","snake eel","FDA The Seafood List, 2023/07/21"
"Opisthonema libertate","thread herring","FDA The Seafood List, 2023/07/21"
"Opsanus pardus","toadfish","FDA The Seafood List, 2023/07/21"
"Orcynopsis unicolor","bonito","FDA The Seafood List, 2023/07/21"
"Oreochromis mossambicus x Oreochromis niloticus","red tilapia","FDA The Seafood List, 2023/07/21"
"Orycteo rhinoceros","rhinoceros beetle larvae","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Oryctes boas","rhinoceros beetle larvae","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Osmeridae","smelt","JL"
"Osmerus dentex","smelt","FDA The Seafood List, 2023/07/21"
"Osmerus mordax dentex","smelt","FDA The Seafood List, 2023/07/21"
"Osphronemus goramy?","gourami","FDA The Seafood List, 2023/07/21"
"Ostorhinchus maculiferus","cardinalfish","FDA The Seafood List, 2023/07/21"
"Ostrea conchaphila","oyster","FDA The Seafood List, 2023/07/21"
"Ostrea edulis","european flat oyster","FAO Cultured Aquatic Species Fact Sheets"
"Ostrea lurida","oyster","FDA The Seafood List, 2023/07/21"
"Ostreoidea","oyster","JL"
"Otolithoides biauritus","croaker","FDA The Seafood List, 2023/07/21"
"Otolithoides pama","croaker","FDA The Seafood List, 2023/07/21"
"Ovalipes punctatus","swimming crab","FDA The Seafood List, 2023/07/21"
"Palaemon serratus","shrimp","FDA The Seafood List, 2023/07/21"
"Palaemonetes vulgaris","shrimp","FDA The Seafood List, 2023/07/21"
"Palinurus delagoae","spiny lobster","FDA The Seafood List, 2023/07/21"
"Palinurus elephas","spiny lobster","FDA The Seafood List, 2023/07/21"
"Palinurus gilchristi","spiny lobster","FDA The Seafood List, 2023/07/21"
"Palinurus mauritanicus","spiny lobster","FDA The Seafood List, 2023/07/21"
"Pandalopsis dispar","shrimp","FDA The Seafood List, 2023/07/21"
"Pandalus goniurus","shrimp","FDA The Seafood List, 2023/07/21"
"Pandalus hypsinotus","shrimp","FDA The Seafood List, 2023/07/21"
"Pandalus jordani","ocean (coldwater) shrimp","Marty Smith"
"Pangasius gigas","mekong giant pangasius","FDA The Seafood List, 2023/07/21"
"Pangasius sanitwongsei","giant pangasius","FDA The Seafood List, 2023/07/21"
"Panopea abrupta","geoduck clam","FDA The Seafood List, 2023/07/21"
"Panopea bitruncata","geoduck clam","FDA The Seafood List, 2023/07/21"
"Panopea generosa","geoduck","SJ"
"Panopeidae","mud crab","JL"
"Panulirus argus","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus cygnus","western rock lobster","Newton, ""The Oldest Foods on Earth"""
"Panulirus gracilis","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus homarus","scalloped spiny lobster","FAO Cultured Aquatic Species Fact Sheets"
"Panulirus inflatus","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus interruptus","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus japonicus","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus laevicauda","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus marginatus","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus ornatus","tropical rock lobster","Australian Fisheries Management Authority"
"Panulirus penicillatus","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus polyphagus","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus regius","spiny lobster","FDA The Seafood List, 2023/07/21"
"Panulirus versicolor","spiny lobster","FDA The Seafood List, 2023/07/21"
"Paphies australis","wedge clam","FDA The Seafood List, 2023/07/21"
"Paphies subtriangulata","wedge clam","FDA The Seafood List, 2023/07/21"
"Paphies ventricosa","wedge clam","FDA The Seafood List, 2023/07/21"
"Paracaesio xanthura","snapper","FDA The Seafood List, 2023/07/21"
"Paracentrotus lividus","atlantic purple sea urchin","BP"
"Parachanna obscura","channa","FDA The Seafood List, 2023/07/21"
"Paralabrax clathratus","sea bass","FDA The Seafood List, 2023/07/21"
"Paralichthys aestuarius","flounder","FDA The Seafood List, 2023/07/21"
"Paralichthys microps","flounder","FDA The Seafood List, 2023/07/21"
"Paralichthys patagonicus","flounder","FDA The Seafood List, 2023/07/21"
"Paralithodes brevipes","king crab","FDA The Seafood List, 2023/07/21"
"Paralithodes camtschaticus","red king crab","SJ"
"Paralithodes platypus","blue king crab","SJ"
"Paralomis granulosa","deepsea crab","FDA The Seafood List, 2023/07/21"
"Paralonchurus peruanus","croaker","FDA The Seafood List, 2023/07/21"
"Parambassis baculis","chanda","FDA The Seafood List, 2023/07/21"
"Parancistrus aurantiacus","pleco","FDA The Seafood List, 2023/07/21"
"Paranotothenia magellanica","cod","FDA The Seafood List, 2023/07/21"
"Parapenaeopsis sculptilis","shrimp","FDA The Seafood List, 2023/07/21"
"Parapenaeopsis stylifera","shrimp","FDA The Seafood List, 2023/07/21"
"Parapenaeus longirostris","shrimp","FDA The Seafood List, 2023/07/21"
"Parapercis colias","sandperch","FDA The Seafood List, 2023/07/21"
"Parastacoidea","crayfish","JL"
"Paratrachichthys trailli","roughy","FDA The Seafood List, 2023/07/21"
"Paristiopterus labiosus","boarfish","FDA The Seafood List, 2023/07/21"
"Parona signata","argentine queenfish","FDA The Seafood List, 2023/07/21"
"Parupenaeus cilatus","goatfish","FDA The Seafood List, 2023/07/21"
"Parupeneus cyclostomus","goatfish","FDA The Seafood List, 2023/07/21"
"Patella caerulea","limpet","FDA The Seafood List, 2023/07/21"
"Patinopecten caurinus","scallop","FDA The Seafood List, 2023/07/21"
"Patinopecten yessoensis","scallop","FDA The Seafood List, 2023/07/21"
"Pecten albicans","scallop","FDA The Seafood List, 2023/07/21"
"Pecten jacobaeus","scallop","FDA The Seafood List, 2023/07/21"
"Pecten maximus","scallop","FDA The Seafood List, 2023/07/21"
"Pecten meridionalis","scallop","FDA The Seafood List, 2023/07/21"
"Pecten novaezelandiae","scallop","FDA The Seafood List, 2023/07/21"
"Pectinidae","scallop","JL"
"Pellona ditchela","herring","FDA The Seafood List, 2023/07/21"
"Penaeus esculentus","brown tiger prawn","SJ"
"Penaeus indicus","indian white prawn","FAO Cultured Aquatic Species Fact Sheets"
"Penaeus monodon","black tiger shrimp","BP"
"Penaeus semisulcatus","green tiger prawn","SJ"
"Penaeus setiferus","white shrimp","BP"
"Penaeus vannamei","whiteleg shrimp","FAO Cultured Aquatic Species Fact Sheets"
"Pennahia anea","croaker","FDA The Seafood List, 2023/07/21"
"Peprilus simillimus","butterfish","FDA The Seafood List, 2023/07/21"
"Percophis brasiliensis","duckbill","FDA The Seafood List, 2023/07/21"
"Perna canaliculus","new zealand mussel","FAO Cultured Aquatic Species Fact Sheets"
"Petromyzontiformes","lamprey","JL"
"Phycidae","hake","JL"
"Pinnipedia","seal","JL"
"Placopecten magellanicus","atlantic deep-sea scallop","SJ"
"Platanistidae","dolphin","JL"
"Platycephalus conatus","flathead","FDA The Seafood List, 2023/07/21"
"Platycephalus longispinis","flathead","FDA The Seafood List, 2023/07/21"
"Platyrhinoidis triseriata","guitarfish","FDA The Seafood List, 2023/07/21"
"Plebidonax deltoides","pipi","Newton, ""The Oldest Foods on Earth"""
"Plectorhinchus lineatus","grunt","FDA The Seafood List, 2023/07/21"
"Pleoticus muelleri","shrimp","FDA The Seafood List, 2023/07/21"
"Pleoticus robustus","royal shrimp","FDA The Seafood List, 2023/07/21"
"Plesionika martia","shrimp","FDA The Seafood List, 2023/07/21"
"Pleuroncodes monodon","red squat lobster","SJ"
"Pleuroncodes planipes","pelagic red crab","SJ"
"Pleuronichthys decurrens","sole","FDA The Seafood List, 2023/07/21"
"Pleuronichthys ritteri","turbot","FDA The Seafood List, 2023/07/21"
"Pleuroploca gigantea","conch","FDA The Seafood List, 2023/07/21"
"Plicofollis crossocheilos","roughback whiskered fish","FDA The Seafood List, 2023/07/21"
"Polinices heros","moonsnail","FDA The Seafood List, 2023/07/21"
"Pollicipes pollicipes","barnacle","FDA The Seafood List, 2023/07/21"
"Pollicipes polymerus","barnacle","FDA The Seafood List, 2023/07/21"
"Polyprion oxygeneios","sea bass","FDA The Seafood List, 2023/07/21"
"Polyprion yanezi","sea bass","FDA The Seafood List, 2023/07/21"
"Pomadasys crocro","grunt","FDA The Seafood List, 2023/07/21"
"Pomadasys panamensis","grunt","FDA The Seafood List, 2023/07/21"
"Pomatomus saltatrix","bluefish","NOAA Fisheries"
"Pontinus khulii","rockfish","FDA The Seafood List, 2023/07/21"
"Portunus armatus","blue swimmer crab","SJ"
"Portunus pelagicus","flower crab","SJ"
"Portunus puber","swimming crab","FDA The Seafood List, 2023/07/21"
"Portunus reticulatus","swimming crab","FDA The Seafood List, 2023/07/21"
"Portunus sanguinolentus","swimming crab","FDA The Seafood List, 2023/07/21"
"Portunus segnis","swimming crab","FDA The Seafood List, 2023/07/21"
"Portunus trituberculatus","swimming crab","FDA The Seafood List, 2023/07/21"
"Portunus tuberculosus","swimming crab","FDA The Seafood List, 2023/07/21"
"Prionotus stephanophrys","searobin","FDA The Seafood List, 2023/07/21"
"Pristipomoides flavipinnis","jobfish","FDA The Seafood List, 2023/07/21"
"Pristipomoides typus","jobfish","FDA The Seafood List, 2023/07/21"
"Probarbus jullien","barb","FDA The Seafood List, 2023/07/21"
"Procambarus acutus","crawfish","FDA The Seafood List, 2023/07/21"
"Procambarus clarkii","red swamp crawfish","FAO Cultured Aquatic Species Fact Sheets"
"Procambarus zonangulus","white river crawfish","SJ"
"Prognichthys gibbifrons","flyingfish","FDA The Seafood List, 2023/07/21"
"Prolatilus jugularis","tilefish","FDA The Seafood List, 2023/07/21"
"Protothaca staminea","littleneck clam","FDA The Seafood List, 2023/07/21"
"Protothaca tenerrima","littleneck clam","FDA The Seafood List, 2023/07/21"
"Protothaca thaca","hardshell clam","FDA The Seafood List, 2023/07/21"
"Protrachypene precipua","shrimp","FDA The Seafood List, 2023/07/21"
"Psettodes belcheri","turbot","FDA The Seafood List, 2023/07/21"
"Pseudacanthotermes militaris","termite","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Pseudacanthotermes spiniger","termite","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Pseudapocryptes elongatus","goby","FDA The Seafood List, 2023/07/21"
"Pseudeutropius atherinoides","potasi","FDA The Seafood List, 2023/07/21"
"Pseudolais micronemus","shortbarbel pangasius","FDA The Seafood List, 2023/07/21"
"Pseudopentaceros wheeleri","armorhead","FDA The Seafood List, 2023/07/21"
"Pseudophycis bachus","morid cod","FDA The Seafood List, 2023/07/21"
"Pseudophycis barbata","morid cod","FDA The Seafood List, 2023/07/21"
"Pseudophycis breviuscula","morid cod","FDA The Seafood List, 2023/07/21"
"Pseudorhombus jenynsii","flounder","FDA The Seafood List, 2023/07/21"
"Pseudotolithus senegalensis","croaker","FDA The Seafood List, 2023/07/21"
"Pseudupeneus grandisquamis","goatfish","FDA The Seafood List, 2023/07/21"
"Pterogymnus laniarius","porgy","FDA The Seafood List, 2023/07/21"
"Pterygotrigla picta","searobin","FDA The Seafood List, 2023/07/21"
"Ptychocheilus grandis","carp","FDA The Seafood List, 2023/07/21"
"Puntius chola","punti","FDA The Seafood List, 2023/07/21"
"Puntius sarana","barb","FDA The Seafood List, 2023/07/21"
"Puntius sophore","barb","FDA The Seafood List, 2023/07/21"
"Raja binoculata","skate","FDA The Seafood List, 2023/07/21"
"Raja eglanteria","skate","FDA The Seafood List, 2023/07/21"
"Raja inornata","skate","FDA The Seafood List, 2023/07/21"
"Raja rhina","skate","FDA The Seafood List, 2023/07/21"
"Raja stellulata","skate","FDA The Seafood List, 2023/07/21"
"Raja texana","skate","FDA The Seafood List, 2023/07/21"
"Rajidae","skate","JL"
"Rana catesbeiana","american bull frog","FAO Cultured Aquatic Species Fact Sheets"
"Rangia cuneata","surfclam","FDA The Seafood List, 2023/07/21"
"Ranina ranina","spanner crab","SJ"
"Rapana venosa","whelk","FDA The Seafood List, 2023/07/21"
"Rastrineobola argenta","silver cyprinid","BP"
"Rhacochilus toxotes","surfperch","FDA The Seafood List, 2023/07/21"
"Rhacochilus vacca","pile perch","FDA The Seafood List, 2023/07/21"
"Rhinobatos lentiginosus","guitarfish","FDA The Seafood List, 2023/07/21"
"Rhinobatos productus","guitarfish","FDA The Seafood List, 2023/07/21"
"Rhombosolea leporina","flounder","FDA The Seafood List, 2023/07/21"
"Rhombosolea plebeia","flounder","FDA The Seafood List, 2023/07/21"
"Rhombosolea retiaria","flounder","FDA The Seafood List, 2023/07/21"
"Rhombosolea tapirina","flounder","FDA The Seafood List, 2023/07/21"
"Rhynchophorus phoenicis","african palm weevil","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Romaleon antennarium","rock crab","FDA The Seafood List, 2023/07/21"
"Roncador stearnsii","croaker","FDA The Seafood List, 2023/07/21"
"Rossia macrosoma","squid","FDA The Seafood List, 2023/07/21"
"Ruditapes decussatus","grooved carpet shell","FAO Cultured Aquatic Species Fact Sheets"
"Ruditapes philippinarum","japanese carpet shell","FAO Cultured Aquatic Species Fact Sheets"
"Ruspolia differens","longhorn grasshopper","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Ruspolia nitidula","senene","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Saccostrea cuccullata","oyster","FDA The Seafood List, 2023/07/21"
"Saccostrea glomerata","sydney cupped oyster","FAO Cultured Aquatic Species Fact Sheets"
"Sagmariasus verreauxi","rock lobster","FDA The Seafood List, 2023/07/21"
"Salanx prognathus","noodlefish","FDA The Seafood List, 2023/07/21"
"Salilota australis","morid cod","FDA The Seafood List, 2023/07/21"
"Salmostoma bacaila","carp","FDA The Seafood List, 2023/07/21"
"Samariscus triocellatus","flounder","FDA The Seafood List, 2023/07/21"
"Sanguinolaria sanguinolenta","sanguin clam","FDA The Seafood List, 2023/07/21"
"Sarda australis","bonito","FDA The Seafood List, 2023/07/21"
"Sarda chiliensis","bonito","FDA The Seafood List, 2023/07/21"
"Sardinella fimbriata","sardine","FDA The Seafood List, 2023/07/21"
